trade_date,active_member_count,suspended_member_count,daily_bar_coverage,daily_basic_coverage,industry_coverage,limit_price_coverage,minimum_coverage,passed,issue
2015-05-22,500,53,1.0,1.0,0.982,1.0,0.982,True,
2015-05-25,500,58,1.0,1.0,0.982,1.0,0.982,True,
2015-05-26,500,56,1.0,1.0,0.982,1.0,0.982,True,
2015-05-27,500,56,1.0,1.0,0.982,1.0,0.982,True,
2015-05-28,500,63,1.0,1.0,0.982,1.0,0.982,True,
2015-05-29,500,64,1.0,1.0,0.982,1.0,0.982,True,
2015-06-01,500,63,1.0,1.0,0.982,1.0,0.982,True,
2015-06-02,500,66,1.0,1.0,0.982,1.0,0.982,True,
2015-06-03,500,62,1.0,1.0,0.982,1.0,0.982,True,
2015-06-04,500,60,1.0,1.0,0.982,1.0,0.982,True,
2015-06-05,500,62,1.0,1.0,0.982,1.0,0.982,True,
2015-06-08,500,63,1.0,1.0,0.982,1.0,0.982,True,
2015-06-09,500,58,1.0,1.0,0.982,1.0,0.982,True,
2015-06-10,500,62,1.0,1.0,0.982,1.0,0.982,True,
2015-06-11,500,60,1.0,1.0,0.982,1.0,0.982,True,
2015-06-12,500,62,1.0,1.0,0.982,1.0,0.982,True,
2015-06-15,500,57,1.0,1.0,0.984,1.0,0.984,True,
2015-06-16,500,56,1.0,1.0,0.984,1.0,0.984,True,
2015-06-17,500,55,1.0,1.0,0.984,1.0,0.984,True,
2015-06-18,500,61,1.0,1.0,0.984,1.0,0.984,True,
2015-06-19,500,62,1.0,1.0,0.984,1.0,0.984,True,
2015-06-23,500,59,1.0,1.0,0.984,1.0,0.984,True,
2015-06-24,500,57,1.0,1.0,0.984,1.0,0.984,True,
2015-06-25,500,60,1.0,1.0,0.984,1.0,0.984,True,
2015-06-26,500,57,1.0,1.0,0.984,1.0,0.984,True,
2015-06-29,500,62,1.0,1.0,0.984,1.0,0.984,True,
2015-06-30,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-07-01,500,70,1.0,1.0,0.984,1.0,0.984,True,
2015-07-02,500,69,1.0,1.0,0.984,1.0,0.984,True,
2015-07-03,500,85,1.0,1.0,0.984,1.0,0.984,True,
2015-07-06,500,98,1.0,1.0,0.984,1.0,0.984,True,
2015-07-07,500,125,1.0,1.0,0.984,1.0,0.984,True,
2015-07-08,500,226,1.0,1.0,0.984,1.0,0.984,True,
2015-07-09,500,231,1.0,1.0,0.984,1.0,0.984,True,
2015-07-10,500,213,1.0,1.0,0.984,1.0,0.984,True,
2015-07-13,500,153,1.0,1.0,0.984,1.0,0.984,True,
2015-07-14,500,124,1.0,1.0,0.984,1.0,0.984,True,
2015-07-15,500,109,1.0,1.0,0.984,1.0,0.984,True,
2015-07-16,500,105,1.0,1.0,0.984,1.0,0.984,True,
2015-07-17,500,102,1.0,1.0,0.984,1.0,0.984,True,
2015-07-20,500,89,1.0,1.0,0.984,1.0,0.984,True,
2015-07-21,500,82,1.0,1.0,0.984,1.0,0.984,True,
2015-07-22,500,79,1.0,1.0,0.984,1.0,0.984,True,
2015-07-23,500,77,1.0,1.0,0.984,1.0,0.984,True,
2015-07-24,500,73,1.0,1.0,0.984,1.0,0.984,True,
2015-07-27,500,73,1.0,1.0,0.984,1.0,0.984,True,
2015-07-28,500,74,1.0,1.0,0.984,1.0,0.984,True,
2015-07-29,500,76,1.0,1.0,0.984,1.0,0.984,True,
2015-07-30,500,78,1.0,1.0,0.984,1.0,0.984,True,
2015-07-31,500,76,1.0,1.0,0.984,1.0,0.984,True,
2015-08-03,500,78,1.0,1.0,0.984,1.0,0.984,True,
2015-08-04,500,79,1.0,1.0,0.984,1.0,0.984,True,
2015-08-05,500,81,1.0,1.0,0.984,1.0,0.984,True,
2015-08-06,500,81,1.0,1.0,0.984,1.0,0.984,True,
2015-08-07,500,81,1.0,1.0,0.984,1.0,0.984,True,
