mean,std,icir,hit_rate,t_stat,count,year,factor,return_col,method
0.15338566268407897,0.07334922067866323,2.0911696302275473,1.0,13.22571801058229,40.0,2022,roe,future_return_20,spearman
0.13280355654348433,0.08922873878884473,1.4883495872081884,0.925,9.413149300298569,40.0,2022,roa,future_return_20,spearman
0.013332870241733819,0.07750684202150135,0.17202184857480218,0.6,1.0879616976179294,40.0,2022,gross_margin,future_return_20,spearman
0.07634620727979996,0.1406605418616771,0.5427691822407266,0.575,3.432773719255419,40.0,2022,gross_margin_stability,future_return_20,spearman
0.11009724923589888,0.06092585019863487,1.8070695587661372,0.925,11.428911392112973,40.0,2022,debt_ratio,future_return_20,spearman
0.06140316754654072,0.06680050486890278,0.9192021477539064,0.725,5.813544834041944,40.0,2022,asset_turnover,future_return_20,spearman
-0.010155150624277354,0.07211231882983253,-0.14082407540161107,0.5161290322580645,-0.7840752684495779,31.0,2022,vol_20,future_return_20,spearman
-0.03651014170602946,0.03401721885532175,-1.0732841465173955,0.09090909090909091,-3.559680807435031,11.0,2022,vol_60,future_return_20,spearman
-0.002717926696809724,0.08048646427350269,-0.033768742624522334,0.6363636363636364,-0.11199824892762184,11.0,2022,beta_60,future_return_20,spearman
,,,,,0.0,2022,idio_vol_60,future_return_20,spearman
-0.0438939131837697,0.0806203383566425,-0.5444521082210662,0.1935483870967742,-3.0313810454209267,31.0,2022,turnover_20,future_return_20,spearman
-0.0015721212881714482,0.08086380858815628,-0.0194415934102034,0.3870967741935484,-0.10824621094596147,31.0,2022,amihud_20,future_return_20,spearman
0.0402831195800003,0.16903168965661738,0.23831696684706993,0.5789473684210527,1.469084447577171,38.0,2022,mf_5,future_return_20,spearman
0.18164723175792563,0.13653005081221753,1.3304560474218379,0.8709677419354839,7.407665767146999,31.0,2022,mf_20,future_return_20,spearman
0.17641101022685518,0.12943181832942183,1.3629647833414875,0.8709677419354839,7.588666748481074,31.0,2022,large_order_mf_20,future_return_20,spearman
0.12349402611836624,0.10382890393190757,1.1893993044495137,0.875,7.522421698961012,40.0,2022,revenue_yoy,future_return_20,spearman
0.05367046401778273,0.09703565696082612,0.5531004344047448,0.725,3.4981142950951014,40.0,2022,profit_yoy,future_return_20,spearman
0.10052375659905533,0.08926752033976483,1.12609554086915,0.8,7.122053544211483,40.0,2022,roe_delta,future_return_20,spearman
0.16006807446512925,0.12008152076557364,1.3329950640583443,0.8,8.43060102437284,40.0,2022,size,future_return_20,spearman
0.07728535704362324,0.11102239685247613,0.6961240185286052,0.775,4.402674864999295,40.0,2022,bp,future_return_20,spearman
0.0921936649069186,0.11741959619651265,0.7851642135834286,0.8,4.965814504357101,40.0,2022,ep,future_return_20,spearman
0.08160739094192833,0.10447020723348334,0.7811546765628762,0.8,4.940455965661679,40.0,2022,sp,future_return_20,spearman
0.0699138649624896,0.10258329760972004,0.681532633396892,0.625,4.310390842533435,40.0,2022,cfp,future_return_20,spearman
0.02085579327590998,0.08647525092429992,0.2411764412706597,0.6,1.078573834505362,20.0,2022,mom_20,future_return_20,spearman
,,,,,0.0,2022,mom_60_skip5,future_return_20,spearman
,,,,,0.0,2022,mom_120,future_return_20,spearman
0.03346167586234272,0.11114259691481979,0.3010697679485383,0.6571428571428571,1.78115276746284,35.0,2022,rev_5,future_return_20,spearman
-0.02085579327590998,0.08647525092429992,-0.2411764412706597,0.4,-1.078573834505362,20.0,2022,rev_20,future_return_20,spearman
-0.17063830862108167,0.07053154832277027,-2.4193189101733235,0.0,-8.023973073256453,11.0,2022,turnover_chg_20,future_return_20,spearman
0.13304705852635837,0.08993263218604779,1.479408033461289,1.0,4.906641358828641,11.0,2022,amount_mom_20,future_return_20,spearman
