factor,mean,std,icir,hit_rate,t_stat,count
revenue_yoy,0.08412634946021592,0.10790882653578415,0.7796058224423226,0.7439024390243902,7.059630978149605,82.0
profit_yoy,0.0664866256887076,0.10658251127762151,0.6238042704353823,0.6829268292682927,5.648787919607216,82.0
roe_delta,0.0593746801011977,0.08991573031261789,0.6603369610052051,0.6842105263157895,5.756684163412896,76.0
vol_20,0.054456237843845526,0.12433580867008155,0.4379771075309628,0.66,5.364102162354692,150.0
vol_60,-0.020742513946181634,0.11355704075450106,-0.18266162809776693,0.4307692307692308,-2.0826629946567206,130.0
beta_60,-0.02903627075897151,0.10506411758619096,-0.27636715013716423,0.4461538461538462,-3.1510703289107846,130.0
idio_vol_60,0.03960010894115255,0.15929716148196693,0.24859268409271332,0.5643564356435643,2.4983255554523667,101.0
turnover_20,0.025249839451356067,0.10760298815356306,0.23465741876351384,0.543046357615894,2.883518637237155,151.0
amihud_20,0.05934500324164122,0.13126967785988422,0.4520846261616137,0.6866666666666666,5.536883273264202,150.0
event_sentiment_20,0.1634852916037823,0.13861091255524693,1.1794546950884626,0.8484848484848485,6.775451384689081,33.0
mom_20,0.02586432739252968,0.09195164041318306,0.28128184854896315,0.5642857142857143,3.3281717151068184,140.0
mom_60_skip5,0.08591386496248958,0.059169038188514225,1.4520071238739014,0.94,14.520071238739014,100.0
mom_120,0.04296888024451238,0.08322617465696507,0.5162904629657441,0.65,3.265307594389126,40.0
rev_5,-0.00012189765974419747,0.10797485021260238,-0.001128944930270161,0.5032258064516129,-0.014055251033521897,155.0
rev_20,-0.02586432739252968,0.09195164041318306,-0.28128184854896315,0.4357142857142857,-3.3281717151068184,140.0
turnover_chg_20,0.03536775482587403,0.12241772323988337,0.2889104117429894,0.5954198473282443,3.3067308036441343,131.0
amount_mom_20,0.051958029053872055,0.1319530047349544,0.3937616211031863,0.648854961832061,4.506807746870174,131.0
mf_5,0.0770168225350924,0.13846558505695672,0.5562163515462137,0.6962025316455697,6.991531126793775,158.0
mf_20,0.1225767275310103,0.10375953638876692,1.181353847532038,0.8675496688741722,14.516719115381795,151.0
large_order_mf_20,0.10389972196103041,0.1094027943350031,0.9496989779153017,0.7947019867549668,11.670096419767006,151.0
roe,0.13542311888803804,0.06371763304493569,2.1253633008076958,1.0,19.245983247276694,82.0
roa,0.11207923610216933,0.07474673484216783,1.4994532716222493,0.9634146341463414,13.578126871179645,82.0
gross_margin,0.03110755697720912,0.09732010377523269,0.31964163385043354,0.6097560975609756,2.8944781006991778,82.0
gross_margin_stability,0.07091370409909187,0.12430301108172616,0.5704906380141336,0.6052631578947368,4.973422078679303,76.0
debt_ratio,0.1383480506102644,0.07030085408586474,1.9679426716677937,0.9634146341463414,17.820478821726983,82.0
asset_turnover,0.10033410364667693,0.08411835021277668,1.1927730797487426,0.8536585365853658,10.801019619527159,82.0
size,-0.0025670325090302983,0.16301273620775142,-0.01574743525413098,0.55625,-0.19919105083634547,160.0
bp,0.06395318143928871,0.11238325308980465,0.5690632694907326,0.725,7.1981442573316885,160.0
ep,0.06348638510697417,0.11627131141055944,0.5460193433511795,0.70625,6.9066590859969725,160.0
sp,0.0716205890525146,0.11024132018339193,0.6496710029721178,0.73125,8.21776039663165,160.0
cfp,-0.023726102779227296,0.1369339733315916,-0.17326673726010638,0.4146341463414634,-1.5689970375187279,82.0
