,score_rank_ic
2022-01-03,0.26540705751597676
2022-01-04,-0.11708808002222842
2022-01-05,0.09758266185051405
2022-01-06,-0.03651014170602946
2022-01-07,0.1989441511530981
2022-01-10,0.13614893025840513
2022-01-11,-0.011392053348152267
2022-01-12,0.0682411781050292
2022-01-13,0.10347318699638791
2022-01-14,0.21039177549319257
2022-01-17,0.25118088357877194
2022-01-18,0.3518199499861073
2022-01-19,0.20433453737149213
2022-01-20,0.2633509308141151
2022-01-21,0.17432620172270077
2022-01-24,0.09585996110030566
2022-01-25,0.1746040566824118
2022-01-26,0.1897193664906919
2022-01-27,0.2208946929702696
2022-01-28,0.15370936371214228
2022-01-31,0.14704084467907755
2022-02-01,0.15576549041400392
2022-02-02,0.11019727702139485
2022-02-03,0.1383717699360934
2022-02-04,0.03450958599611004
2022-02-07,0.05223673242567381
2022-02-08,0.14465129202556268
2022-02-09,0.11825507085301476
2022-02-10,0.059016393442622966
2022-02-11,0.2068352320088914
2022-02-14,0.23495415393164773
2022-02-15,0.17760489024729095
2022-02-16,0.15332036676854688
2022-02-17,0.1608224506807447
2022-02-18,0.21317032509030287
2022-02-21,0.16165601555987777
2022-02-22,0.077354820783551
2022-02-23,0.17043623228674634
2022-02-24,0.13992775771047516
2022-02-25,0.0467907752153376
2022-02-28,0.02617393720477911
2022-03-01,0.0467907752153376
2022-03-02,0.19283134203945543
2022-03-03,0.09458182828563491
2022-03-04,0.07763267574326202
2022-03-07,0.10552931369824954
2022-03-08,0.1160322311753265
2022-03-09,0.17660461239233124
2022-03-10,0.0834676298971937
2022-03-11,-0.0002778549597110309
2022-03-14,0.27085301472631296
2022-03-15,0.20705751597666022
2022-03-16,0.11147540983606559
2022-03-17,0.13698249513753824
2022-03-18,0.20455682133926095
2022-03-21,0.172770213948319
2022-03-22,0.07846624062239513
2022-03-23,-0.016615726590719648
2022-03-24,-0.03517643789941651
2022-03-25,0.02417338149485969
2022-03-28,0.11625451514309534
2022-03-29,0.15715476521255906
2022-03-30,0.07813281467074189
2022-03-31,0.13275909974993055
2022-04-01,0.10086135037510421
2022-04-04,0.20933592664629067
2022-04-05,0.2544595721033621
2022-04-06,0.21806057238121704
2022-04-07,0.18166157265907198
2022-04-08,0.22161711586551824
2022-04-11,0.09974993053626009
2022-04-12,0.006501806057238123
2022-04-13,-0.09402611836621284
2022-04-14,-0.05245901639344263
2022-04-15,-0.011836621283689917
2022-04-18,0.06462906362878579
2022-04-19,0.16071130869686026
2022-04-20,0.1951653237010281
2022-04-21,0.10402889691580997
2022-04-22,0.20789108085579333
2022-04-25,0.145818282856349
2022-04-26,0.12181161433731594
2022-04-27,0.14315087524312312
2022-04-28,0.09363712142261742
2022-04-29,0.15154209502639626
2022-05-02,0.14798555154209506
2022-05-03,0.16843567657682693
2022-05-04,0.13320366768546824
2022-05-05,0.08196721311475412
2022-05-06,0.1808280077799389
2022-05-09,0.1581550430675188
2022-05-10,0.17788274520700198
2022-05-11,0.20355654348430122
2022-05-12,0.2202834120589053
2022-05-13,0.20822450680744656
2022-05-16,0.1592664629063629
2022-05-17,0.12497916087802169
2022-05-18,0.10775215337593778
2022-05-19,0.11069741594887471
2022-05-20,0.13259238677410395
2022-05-23,0.09152542372881357
2022-05-24,0.08218949708252293
2022-05-25,0.08502361767157544
2022-05-26,0.10541817171436513
2022-05-27,0.017838288413448183
2022-05-30,0.045401500416782446
2022-05-31,0.12981383717699363
2022-06-01,0.14876354542928594
2022-06-02,0.16010002778549598
2022-06-03,0.11219783273131426
2022-06-06,0.1859961100305641
2022-06-07,0.2299527646568492
2022-06-08,0.22228396776882473
2022-06-09,0.1238677410391776
2022-06-10,0.2068352320088914
2022-06-13,0.2007224228952487
2022-06-14,0.2157821617115866
2022-06-15,0.20705751597666022
2022-06-16,0.22017227007502088
2022-06-17,0.3278688524590165
2022-06-20,0.22984162267296476
2022-06-21,0.2710197277021395
2022-06-22,0.2622950819672132
2022-06-23,0.2992497916087803
2022-06-24,0.23500972492358996
2022-06-27,0.23834398444012228
2022-06-28,0.2556821339260907
2022-06-29,0.27235343150875246
2022-06-30,0.23889969435954433
2022-07-01,0.24901361489302593
2022-07-04,0.233953876076688
2022-07-05,0.23184217838288415
2022-07-06,0.25773826062795224
2022-07-07,0.3165323701028064
2022-07-08,0.33459294248402344
2022-07-11,0.32181161433731603
2022-07-12,0.36965823839955547
2022-07-13,0.4176715754376217
2022-07-14,0.3635454292859128
2022-07-15,0.23300916921367051
2022-07-18,0.24812447902195062
2022-07-19,0.20244512364545714
2022-07-20,0.22417338149485974
2022-07-21,0.21555987774381777
2022-07-22,0.1773826062795221
2022-07-25,0.22706307307585447
2022-07-26,0.1549319255348708
2022-07-27,0.045401500416782446
2022-07-28,0.11319811058627398
2022-07-29,0.19110864128924704
2022-08-01,0.2505140316754655
2022-08-02,0.2510697415948875
2022-08-03,0.18032786885245905
2022-08-04,0.24284523478744102
2022-08-05,0.17221450402889693
2022-08-08,0.1502083912197833
2022-08-09,0.04173381494859685
2022-08-10,-0.009502639622117256
2022-08-11,-0.04278966379549876
2022-08-12,0.02634065018060573
