trade_date,long_short_cumulative
2022-06-20,0.03172380638786931
2022-06-21,0.047405107207576735
2022-06-22,0.053083098077589375
2022-06-23,0.10837383625369368
2022-06-24,0.14039699941069705
2022-06-27,0.15726155105035877
2022-06-28,0.1929612809109138
2022-06-29,0.25052082886504623
2022-06-30,0.3103979965803463
2022-07-01,0.34885453532521504
2022-07-04,0.3825135445131054
2022-07-05,0.4397649756834705
2022-07-06,0.5527641078805148
2022-07-07,0.6705181889318284
2022-07-08,0.8230408359817114
2022-07-11,0.9808856488756612
2022-07-12,1.0788399616280326
2022-07-13,1.2162890330559049
2022-07-14,1.3326539627935778
2022-07-15,1.4252754576246405
2022-07-18,1.539272864534425
2022-07-19,1.6321315032103176
2022-07-20,1.6960348733167723
2022-07-21,1.8428649093998533
2022-07-22,1.9761629179673061
2022-07-25,2.108695954526369
2022-07-26,2.2025885420617537
2022-07-27,2.1828311197508175
2022-07-28,2.2185156927304357
2022-07-29,2.3294104722028703
2022-08-01,2.561203648745716
2022-08-02,2.836482426171529
2022-08-03,3.000112812944507
2022-08-04,3.2274975860334782
2022-08-05,3.2967540271310156
2022-08-08,3.455679387585234
2022-08-09,3.5270993454872457
2022-08-10,3.457770869153733
2022-08-11,3.4963561093046387
2022-08-12,3.6492481216481307
