mean,std,icir,hit_rate,t_stat,count,regime,factor,return_col,method
0.153098082800778,0.07347916144057205,2.0835578387023315,1.0,7.795959577951327,14.0,bear,roe,future_return_20,spearman
0.12363354900170684,0.10084839988588926,1.2259346617457407,0.8571428571428571,4.587027482823164,14.0,bear,roa,future_return_20,spearman
-0.003707379033858614,0.08638559041189682,-0.04291663709400362,0.5,-0.16057935219827515,14.0,bear,gross_margin,future_return_20,spearman
0.047282975429682864,0.13044532679357274,0.36247350972187203,0.5,1.3562516851607187,14.0,bear,gross_margin_stability,future_return_20,spearman
0.12441948160203234,0.07364994470143812,1.689335709706281,0.9285714285714286,6.320915436963506,14.0,bear,debt_ratio,future_return_20,spearman
0.05788512682094234,0.08232373563349145,0.7031401864299408,0.6428571428571429,2.630909672493194,14.0,bear,asset_turnover,future_return_20,spearman
-0.023988144855052337,0.07355427277009724,-0.32612850282715977,0.5,-1.1297422733860218,12.0,bear,vol_20,future_return_20,spearman
-0.03768824673520423,0.026278657781228395,-1.4341770058791221,0.0,-3.2069172769128325,5.0,bear,vol_60,future_return_20,spearman
0.0001222561822728563,0.07727320174383165,0.001582129114801632,0.6,0.003537748249878018,5.0,bear,beta_60,future_return_20,spearman
,,,,,0.0,bear,idio_vol_60,future_return_20,spearman
-0.021820876169306294,0.07096432220582759,-0.3074907994754914,0.25,-1.0651793751030492,12.0,bear,turnover_20,future_return_20,spearman
-0.036926924145596,0.08735089372795497,-0.4227423735422898,0.16666666666666666,-1.464422538975014,12.0,bear,amihud_20,future_return_20,spearman
0.03743103242964315,0.17786527194954874,0.2104459854325043,0.5,0.7874167759104509,14.0,bear,mf_5,future_return_20,spearman
0.16402241363341669,0.13292528991627803,1.233944373841313,0.8333333333333334,4.274508698413838,12.0,bear,mf_20,future_return_20,spearman
0.16163286097990184,0.12055337065481449,1.3407577084071085,0.8333333333333334,4.644520943201459,12.0,bear,large_order_mf_20,future_return_20,spearman
0.09192632874211092,0.10037896944194491,0.9157927128877065,0.8571428571428571,3.4265825689300344,14.0,bear,revenue_yoy,future_return_20,spearman
0.06187433017107929,0.09742779978966849,0.635078799938584,0.7142857142857143,2.3762472829737327,14.0,bear,profit_yoy,future_return_20,spearman
0.09220418370182196,0.0652279277407254,1.4135691090528664,0.9285714285714286,5.289091298603116,14.0,bear,roe_delta,future_return_20,spearman
0.1439328384868813,0.13008953553465524,1.1064136549902452,0.7142857142857143,4.139820825021807,14.0,bear,size,future_return_20,spearman
0.10751796133846704,0.11285569432963055,0.9527030246646396,0.8571428571428571,3.564688309638325,14.0,bear,bp,future_return_20,spearman
0.10851030048029218,0.11611365228713437,0.9345180204301897,0.8571428571428571,3.4966462542159804,14.0,bear,ep,future_return_20,spearman
0.07279006073115549,0.091417977802888,0.7962335470611992,0.8571428571428571,2.9792331329587523,14.0,bear,sp,future_return_20,spearman
0.08394395268526973,0.1080886654445277,0.7766212335034397,0.7142857142857143,2.9058505750636354,14.0,bear,cfp,future_return_20,spearman
0.014092803556543484,0.10009498050055368,0.14079430842654023,0.6,0.4452306962161048,10.0,bear,mom_20,future_return_20,spearman
,,,,,0.0,bear,mom_60_skip5,future_return_20,spearman
,,,,,0.0,bear,mom_120,future_return_20,spearman
0.023129440717659662,0.10992165053781398,0.2104175165173938,0.5714285714285714,0.7873102549839343,14.0,bear,rev_5,future_return_20,spearman
-0.014092803556543484,0.10009498050055368,-0.14079430842654023,0.4,-0.4452306962161048,10.0,bear,rev_20,future_return_20,spearman
-0.1734926368435677,0.05647837960584265,-3.071841615399674,0.0,-6.868846668146436,5.0,bear,turnover_chg_20,future_return_20,spearman
0.13558210614059465,0.08257852581301883,1.64185670312874,1.0,3.6713031975095545,5.0,bear,amount_mom_20,future_return_20,spearman
0.16553407692613026,0.06679753497352886,2.478146491359743,1.0,9.272375124904107,14.0,bull,roe,future_return_20,spearman
0.15362203786766168,0.07530938546004447,2.0398790526469788,1.0,7.632528525461999,14.0,bull,roa,future_return_20,spearman
0.03531139602270473,0.07220360871125472,0.4890530633159416,0.7857142857142857,1.829869006880517,14.0,bull,gross_margin,future_return_20,spearman
0.09958718691700079,0.15538517786056805,0.6409053185649629,0.6428571428571429,2.3980481194312997,14.0,bull,gross_margin_stability,future_return_20,spearman
0.10267137696979321,0.06133457031649997,1.6739560812113978,0.8571428571428571,6.263370136399786,14.0,bull,debt_ratio,future_return_20,spearman
0.08052633668082405,0.05300724939593851,1.519157051129578,0.8571428571428571,5.684165202028703,14.0,bull,asset_turnover,future_return_20,spearman
-0.009576734278040198,0.07453635767606634,-0.12848406571810916,0.4444444444444444,-0.3854521971543275,9.0,bull,vol_20,future_return_20,spearman
-0.036398999722145046,0.0006287140038335485,-57.89436770964887,0.0,-81.87500000000041,2.0,bull,vol_60,future_return_20,spearman
0.0756043345373715,0.06039583899326055,1.2518136314955082,1.0,1.7703318152244634,2.0,bull,beta_60,future_return_20,spearman
,,,,,0.0,bull,idio_vol_60,future_return_20,spearman
-0.0851409342101201,0.05646192211278531,-1.5079354549787933,0.1111111111111111,-4.523806364936379,9.0,bull,turnover_20,future_return_20,spearman
0.03248433206754963,0.07487146228353811,0.4338680062709543,0.5555555555555556,1.301604018812863,9.0,bull,amihud_20,future_return_20,spearman
0.07157971231324942,0.12595561077738116,0.5682931619438707,0.6923076923076923,2.0490101348841865,13.0,bull,mf_5,future_return_20,spearman
0.24546324596338495,0.09237513874609037,2.6572435970903894,1.0,7.971730791271168,9.0,bull,mf_20,future_return_20,spearman
0.23699793152418883,0.08154992313994153,2.906169894452199,1.0,8.718509683356597,9.0,bull,large_order_mf_20,future_return_20,spearman
0.16822530067876,0.07312498766913264,2.300517320289011,1.0,8.607747624860771,14.0,bull,revenue_yoy,future_return_20,spearman
0.032747191680228646,0.07942658769294757,0.41229508444734975,0.7142857142857143,1.5426669482530122,14.0,bull,profit_yoy,future_return_20,spearman
0.11938633747469538,0.08426496089953134,1.4167969248456551,0.8571428571428571,5.3011686794073505,14.0,bull,roe_delta,future_return_20,spearman
0.17801770333029024,0.10056776689652674,1.7701268390840479,0.9285714285714286,6.623208162985636,14.0,bull,size,future_return_20,spearman
0.05992537609653477,0.10771390608039454,0.5563383436471815,0.7142857142857143,2.081627473053056,14.0,bull,bp,future_return_20,spearman
0.09610606120747829,0.1411286527807241,0.6809819219120672,0.7142857142857143,2.5480010383818015,14.0,bull,ep,future_return_20,spearman
0.1061405946096138,0.10062810999565361,1.0547807626934291,0.8571428571428571,3.946628232158921,14.0,bull,sp,future_return_20,spearman
0.06400984400428691,0.10069700557219383,0.635667800055838,0.5714285714285714,2.3784511196132674,14.0,bull,cfp,future_return_20,spearman
0.024895804390108363,0.10096290384319294,0.24658368016805882,0.5,0.49316736033611763,4.0,bull,mom_20,future_return_20,spearman
,,,,,0.0,bull,mom_60_skip5,future_return_20,spearman
,,,,,0.0,bull,mom_120,future_return_20,spearman
0.0415337593776049,0.1099968832437517,0.37759032940566706,0.8,1.1940454633751605,10.0,bull,rev_5,future_return_20,spearman
-0.024895804390108363,0.10096290384319294,-0.24658368016805882,0.5,-0.49316736033611763,4.0,bull,rev_20,future_return_20,spearman
-0.1078355098638511,0.11603702833252989,-0.9293198163850291,0.0,-1.3142566881137827,2.0,bull,turnover_chg_20,future_return_20,spearman
0.03253681578216172,0.02683822903864474,1.212330952810318,1.0,1.7144948755490483,2.0,bull,amount_mom_20,future_return_20,spearman
0.1395480225988701,0.08380976837449167,1.6650567744719231,1.0,5.767925861744248,12.0,range,roe,future_return_20,spearman
0.11921367046401782,0.09298240666916728,1.2821099682672417,0.9166666666666666,4.441359211858766,12.0,range,roa,future_return_20,spearman
0.007571547652125591,0.0727842582100046,0.10402726960930736,0.5,0.3603610326719723,12.0,range,gross_margin,future_return_20,spearman
0.08313883486153563,0.14032497143413447,0.5924735562875865,0.5833333333333334,2.052388603262237,12.0,range,gross_margin_stability,future_return_20,spearman
0.10205149578586648,0.04361468759277696,2.3398424113157525,1.0,8.105451876206716,12.0,range,debt_ratio,future_return_20,spearman
0.043197184403074934,0.06039937432919753,0.7151925807647493,0.6666666666666666,2.477499774161707,12.0,range,asset_turnover,future_return_20,spearman
0.005923867741039179,0.07239024278759154,0.08183240603876787,0.6,0.25877678949422367,10.0,range,vol_20,future_return_20,spearman
