signal_date,order_date,execution_date,buy_turnover,sell_turnover,gross_turnover,portfolio_turnover,cost,fill_count,unfilled_order_count
2022-06-30,2022-07-01,2022-07-01,0.9189930093638186,0.0,0.9189930093638186,0.4594965046819093,918.9930093638186,50,0
2022-07-29,2022-08-01,2022-08-01,0.10814509063357314,0.0798124723322269,0.18795756296580002,0.09397878148290001,231.83073441953744,20,34
2022-08-31,2022-09-01,2022-09-01,0.11924510545253152,0.11699716000622877,0.2362422654587603,0.11812113272938014,290.7907809745236,22,34
