trade_date,drawdown
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-27,0.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-04,0.0
2022-07-05,-0.003898622164780541
2022-07-06,-0.019656110062375
2022-07-07,-0.021427546979767564
2022-07-08,-0.010445182040379586
2022-07-11,-0.012770606743858992
2022-07-12,-0.0021197476725811626
2022-07-13,-0.009759365146709387
2022-07-14,0.0
2022-07-15,-0.000692226002531271
2022-07-18,0.0
2022-07-19,-0.020560428621175242
2022-07-20,0.0
2022-07-21,-0.003518145619082813
2022-07-22,-0.01355011362632541
2022-07-25,-0.019592987029102504
2022-07-26,-0.033045587129722054
2022-07-27,-0.03297805740277793
2022-07-28,-0.039177040081436076
2022-07-29,-0.025595620781033057
2022-08-01,-0.03667423499009437
2022-08-02,-0.04402299252486985
2022-08-03,-0.022574211195480975
2022-08-04,-0.02731520331506898
2022-08-05,-0.04048850067824472
2022-08-08,-0.04470345826873923
2022-08-09,-0.05300956020816683
2022-08-10,-0.06465421643082181
2022-08-11,-0.058365834091152924
2022-08-12,-0.06718112750851524
2022-08-15,-0.0849386370749321
2022-08-16,-0.08074510366293663
2022-08-17,-0.09277461912600815
2022-08-18,-0.08064666599740733
2022-08-19,-0.09532182792879096
2022-08-22,-0.090387782220258
2022-08-23,-0.09109209008979346
2022-08-24,-0.0733158715534713
2022-08-25,-0.0712834017444095
2022-08-26,-0.07614089348830588
2022-08-29,-0.0493347824049164
2022-08-30,-0.049273208636017696
2022-08-31,-0.05552038080154997
2022-09-01,-0.054855599256319665
2022-09-02,-0.052505321491776336
2022-09-05,-0.048523869991614954
2022-09-06,-0.04769526521172485
2022-09-07,-0.058610129821282
2022-09-08,-0.06120251224618822
2022-09-09,-0.03727865900403304
